tweet,label
any energy i had left has finally been drained from my body its time for some good sleep gooood night,1
awesome day  i love my friends   happy for you 2 lt3,1
oh man i have been sick all night i feel awful,-1
stupid allergies and headaches,-1
4th meal,1
math and history exams tomorrow,-1
i love how im never home  i havent been home once since i came back from disneyland i need clothes damn i guess ill go home tomorrow,1
no one can freak me im just tooo nasty,1
math exam wasnt that bad not perfect either but at least im confident i didnt fail,1
its a beautiful day for a bike ride woo,1
i dont even know what its doing anymore,-1
bot following me and i cant seem to block the bloody thing,-1
headache  im gonna go for a bit lt3,-1
tired not stoked for my science exam tomorrow,-1
am hungover and work sucks i need a new job also slightly sad not invited to an old friends wedding tomorrow,-1
long day tired sleep  tomorrow is graduation for my little sis,1
im sure that ill not sleep this night,1
just woken up 12 hours sleep and still feel tired,-1
songzyuuup ugh u always go live when i get off my computer,-1
i really thought tht she would write bak,-1
i forgot i took a freaking nap due to my hang over this morning now i know ill be up forever  ill just have to skip todays nap lol,-1
came back from the mall which is very tiring haha but still im alive and kicking here on the net,1
hello to all new followers from warm and sunny tokyo,1
things are looking up happy happy happy thats me,1
watching videos on youtube,1
when i have to get off it is hard to get off when he says that he loves me it is even harder i guess pulling the plug is easier sorta,-1
ddlovato wish i could of been their  stupid uk,-1
ima 15 baby  and still going strong haha,1
tomfelton hi tom how are you im a fan of harry potter from the philippines  cant wait for the movie to come out,1
id forgotten how much i missed pushing daisies,-1
finally going to sleep last day of school tomorrow amp the jonas brothers album is released,1
ya gotta follow a lot of ppl otherwise it looks like youre writing too much shoot im addicted,1
feel so sick got a burning throat complaining is all i have to make myself feel better,-1
going out today then eat dinner with the family,1
no  i missed the last couple of years  i had the money to go and everything but i never found a way there,-1
good afternoon world had a great time out last night celebrating both mine and my girlfriends birthday with lots of friends,1
finally got my drivers license,1
theres a chance we might be going to see the cab,1
sprained right ankle while i played softball,-1
my favourite song is a thousand miles i am obsessed nite,1
idk how to help anymore maybe youll just have to learn the hard way whatever im going 2 bed drivers ed is gonna be hell tomorrow,-1
my eyes hurts gosh everything seems to be so sore,-1
good morning cool its a sunny day,1
i want to go to broken city,-1
i hate being sick during finals week,-1
johncmayer keep at it john  im sure this will album will be of the same quality as your others,1
im shaking so bad she almost got hit by a car fuck  im so mad at her but glad i got her in time,-1
has finally got some nice hayfever medicine,1
oh it hurts so bad,-1
going to the vet tomorrow to have my mouth check  time for a walk,-1
i want u back  alone and sad,-1
jonathanrknight so glad u r here amp in one piece cali missed u,1
back from an amazing two days  i will never forget the feeling of breaking into a pool and swimming in the middle of a lightning storm,1
ouch that frozen yogurt was not a good idea at this hour  my tummy hurts,-1
and two grand are soo sweet,1
feels sad this afternoon cant believe its still another 13 days to go,-1
i love love love the smell of bbq  making some super yummy dinner,1
ive been up for 40 hours thus far  mmm monster lt3 what ill sleep when im dead,1
thanks to everyone for their well wishes my niece is in pain but the surgery went well,1
just had my phone switched back on now i feel lost without my bb,1
gonna go flat iron my hair just so i can take pix and show yall what my hair looks like,1
i have to wear my glasses again cause my eyes have got worse,-1
my subway made me so sick i threw it all up,-1
i got silver in my dance competition,1
well now that im wide awake at 4am whats happening twitterville,1
ok so my final grade in history is a b good  despite the horrible test grades i managed,1
not feeling well  fever,-1
time amp eric and pizza time   then more work  moving soon,1
is fed up and cant be bothered,-1
goodnight tonight was so fun thanks everyone,1
just had the best tomato and ham sandwich in the history of life,1
ap exam done,1
stupid exams again   yay i get to race my car that doesnt move today,1
is enjoying her day off brunch time,1
doesnt want to revise anymore,-1
im really sad and i dont know what to do,-1
mitchelmusso its so good video  you sound so good in live  this video is going to my favorites,1
haha im sooo bored friends are great arent they oh i broke my tv,-1
in toronto next stop lax,1
going to watch some supernatural there is nothing to do since my mum has left for town without me,-1
missing my wifey  lt3,-1
happy anniversary to me  2 yrs married to the perfect wife,1
mileycyrus dont worry im sure you will win ill vote too many times,1
omg maths exam today and a chemistry tomorrow  help meee im gunna fail,-1
these days i m often late for college  bad,-1
today was amazing i cant believe its over so fast i have to go now sweet dreams everyone,1
morning  out with one group of friends this afternoon and another tonight busy busy day,1
i should head downstairs soon and get ready to leave ughhh noooo,-1
im done yall goodnight,1
just tell me now what do i do ive fallen for you and i cant tell u how crazy my heart is for u,1
good am just slept for 4 hours i need to sleep,1
thinks hes getting sick,-1
hi california lt3 ill be seeing you soon,1
why did i have to eat that sweet bread,-1
i hate my father he is fat ugly and he sucks  i want to be alone father day  ugh,-1
gonna miss my baby today she is off to her dads,-1
insomnia is no fun when your by your self,-1
nothing about it have seen it already man i even watched the show and saw some of the movies and stuff but havent gotten to it yet,-1
i still have this headache that kept me up all night,-1
good morning world today is a wonderful day  even if you get up late xd,1
horrible i am scared,-1
im sick and it sucks real bad,-1
its way too early for me to be up but only 3 days left,1
is back from the doc  another 6 weeks  great stuff  pray hard train hard and believe for the best,1
no longer putting in effort over stupid things or stupid people because thats stupid  thank you quote site,1
oh no 2nd saturdays on 2nd saturday,1
ugh i think i could die any minute lord please save me,-1
is bored with nothing to do,-1
watching one tree hill new season  i love this show bsb,1
had shitty time at school as usual stupid learning common  anyways about to go to bed good night,1
theres like 9 to 8 days left of school and i cant wait,1
home finally   on my way to bed goodnight yall,1
my sunburn is really bad today,-1
wheres my kitten,-1
is sipping her morning tea with milk  mmm,1
sorry about the ads but u guys know what happens when u click them,1
i have just got up and have made a cup of tea its the start of my birthday weekend,1
is off to meet another great friend then meet vitamin s,1
what he meant i mean,1
i still feel horrible and in extreme intense pain,-1
its raining and i just wanna sleep all day but i cant cause i gots a job,-1
band concert went good  time for bed soon gonna be hot again,1
english exam went really well i think   history paper 1 knowledge tomorrow s,1
do not want to go to bed now and get up at 5am  at least ill only have to do it once more after tomorrow,-1
ugh  dont wanna get out of bed,-1
i am very very sleepy and i am going to bed,1
is sick of eating icecream,-1
actually far too hungry not got any shows for a while,-1
ok 4 star trek fans have given the new movie good reviews  getting very excited,1
i need my bed missed my flight amp im sick,-1
its hard to sleep when my pillow still smells like my baby but hes not here  me no likey,-1
well thanks to the campus being on lock down i cant get into the student center for my show this morning,-1
is going to have a shower get in bed and sleep  life is all work no play atm  cry,-1
has a migraine today,-1
got the movie happy feet for my birthday  gonna pop it in my laptop to watch and go to sleep have a great night,1
cause she sucks   i still like her but she needs to start singing so people actually get what theyre paying for gtgt,1
still sick lost my voice in bed,-1
too much work too little time,-1
im bored sitting waiting for something exciting to happen no chance of that though,-1
cant sleep  wish my brain would power down for an hour or two,-1
just happened to wake up early feeling my little one playin inside so i put my hand on my stomach and got my first real kick,1
but they cant really understand me though,-1
ughhhh bored tired and my head hurts like you wouldnt believe,-1
selenagomez great song,1
ate at the mall food court yummy then played my acoustic show now time to go to bed,1
i hate watching people get cut on so you think you can dance its sad,-1
hey guys i like this guy and it totally sucks cause hes a good friend,-1
another saturday bored at work i need a big kid job,1
square  put one right there who would really care,1
still sick today,-1
is listening to music again,1
it feels good getting more than 5 hours of sleep a night now,1
neck ish sore,-1
ugh i so dont want to get out of my bed but i have to be at work by 9,-1
watching house i swear ive seen every episode at least once yet i love to watch them over and over again,1
watching tv and recovering from open heart surgery,-1
had a crazy day at work now i can relax at home,1
down with stomach pain,-1
pens and wings  game one tonight and im missing it   stupid work cmon pens we can do it,-1
im feeling not so good xd my stomach is hurting,-1
i am running on like maybe 2 hours of sleep sort of miserable right now,-1
ughh they didnt give me a diet cherry so i had eric get me one,1
and now its gone  i cant find it its probably preparing to attack when i least expect it,-1
home from melbourne what a great weekend my ear is still blocked up its so crappy,-1
working out losing weight,1
i am still so tired how can one person sleep so much yet still be so tired god its annoying lol,1
headache  work,-1
off to disneyland for celebration,1
my twitter have been down the last days its up again now  so going to sweden and drive with my mom,1
not forgetting my new mission after the jb concert miley cyrus and taylor swift,1
cant believe that its been a year already still miss you tho,-1
has been forever trying to figure out twitter,-1
its too early to be awake on a saturday,-1
wat a perfect day  fell so happy,1
last night on the strip sniff sniff,-1
good morning everyone im really sore but i think ill be ok,1
going to my friends house tonight  gonna be fun,1
is in alot of pain and these antibiotics are only making me worse  bad times,-1
somethings wrong with my throat,-1
can we all please stop talking about politics for once  its a good day  lets make or keep it that way,1
shaundiviney sway sway on now playing u won to jonas bros 80 to 20 lol,1
had 16 hours of sleep last saturday,1
revising for my chemistry exam on friday,-1
kimkardashian i have i think you could pull off too,1
woke up feeling sick then cable and wifi died again now the fire alarm is going off i guess things can only get better from here,1
whose fault is this mine yours please tell me so i could fix this im sorry i love you,-1
is too tired to be at work,-1
i love birthday sex,1
doesnt matter only lebron does i hate the rest of the team because its everyone elses fault haha like i actually watch  care,1
studying for history exam tomorrow,-1
i love this i might be joining a concert promotion company in sa,1
likes the sun its sunny,1
just about to start cutting the pages of on road magazine issue 3  then its already to upload,1
omg you will never believe this im graduating on thursday but the sad thing is that some of my friends are leaving,-1
searching for the answer because when you are stuck all you have to do is look god already gave us all the answers  cant wait to go home,1
summer  lets kick it off with a brilliant state track meet,1
so glad the sun is shining a little today  have the perfect outfit but no shoes,-1
wants to thank all of my friends who made my 16th birthday really special  i love you all,1
donniewahlberg how blessed are we donnie for having you on this earth to give us great joy,1
i cant drive for shit  my poor 3 day year old car  aim me if you have aim well ask first and maybe,-1
yay game night is a cheap and awesome way to spend a night,1
i was trying to go to sleep since i got none last night but i will be there hopefully with my dress,1
ugh ive been up since 500 and i cant sleep,-1
26 done you know what i should be doing right now sleeping,1
wrist aint even hurting,1
woop woop gots the day off todayy,1
talking and listening to music,1
ill update every1 in a few,1
bored nothing to do theres not even a storm anymore,-1
i listen to music,1
my stomach hurts,-1
i am sorry for being a little late to start today,-1
just bought sims 3 for the iphone exciting,1
am home and tired from shift  hospital however it was an exciting day was in scrubs amp in theatre   oh my poor aching feet,1
